Andhra Pradesh,28,Houselisting-housing-AP.html,23,Prakasam,2818,PCA CDB-2818-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,Rangareddy,2806,PCA CDB-2806-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,Sri Potti Sriramulu Nellore,2819,PCA CDB-2819-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,Srikakulam,2811,PCA CDB-2811-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,Visakhapatnam,2813,PCA CDB-2813-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,Vizianagaram,2812,PCA CDB-2812-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,Warangal,2809,PCA CDB-2809-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,West Godavari,2815,PCA CDB-2815-F-Census.xlsx
Andhra Pradesh,28,Houselisting-housing-AP.html,23,Y.S.R.,2820,PCA CDB-2820-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Bilaspur,0208,PCA CDB-0208-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Chamba,0201,PCA CDB-0201-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Hamirpur,0206,PCA CDB-0206-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Kangra,0202,PCA CDB-0202-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Kinnaur,0212,PCA CDB-0212-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Kullu,0204,PCA CDB-0204-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Lahul & Spiti,0203,PCA CDB-0203-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Mandi,0205,PCA CDB-0205-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Shimla,0211,PCA CDB-0211-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Sirmaur,0210,PCA CDB-0210-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Solan,0209,PCA CDB-0209-F-Census.xlsx
Himachal Pradesh,02,Houselisting-housing-Himachal_Pradesh.html,12,Una,0207,PCA CDB-0207-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Anugul,2115,PCA CDB-2115-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Balangir,2124,PCA CDB-2124-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Baleshwar,2108,PCA CDB-2108-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Bargarh,2101,PCA CDB-2101-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Baudh,2122,PCA CDB-2122-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Bhadrak,2109,PCA CDB-2109-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Cuttack,2112,PCA CDB-2112-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Debagarh,2104,PCA CDB-2104-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Dhenkanal,2114,PCA CDB-2114-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Gajapati,2120,PCA CDB-2120-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Ganjam,2119,PCA CDB-2119-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Jagatsinghapur,2111,PCA CDB-2111-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Jajapur,2113,PCA CDB-2113-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Jharsuguda,2102,PCA CDB-2102-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Kalahandi,2126,PCA CDB-2126-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Kandhamal,2121,PCA CDB-2121-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Kendrapara,2110,PCA CDB-2110-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Kendujhar,2106,PCA CDB-2106-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Khordha,2117,PCA CDB-2117-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Koraput,2129,PCA CDB-2129-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Malkangiri,2130,PCA CDB-2130-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Mayurbhanj,2107,PCA CDB-2107-F-Census.xlsx
Odisha,21,Houselisting-housing-OR.html,30,Nabarangapur,2128,PCA CDB-2128-F-Census.xlsx
